UID,recency,frequency,monetary_value,R_Mean,F_Mean,M_Mean,Score,Rank
44130896,27.098900462962963,16,5265,0,0,0,000,8
44162560,21.04826388888889,51,4550,0,0,0,000,8
44218864,53.28484953703704,18,4890,1,0,0,100,5
44224848,46.753993055555554,5,1700,0,1,1,011,4
44244528,600.0305324074075,1,500,1,1,1,111,1
44244592,72.91106481481482,3,1500,1,1,1,111,1
44269696,58.81560185185185,3,1500,1,1,1,111,1
44285328,25.09605324074074,12,3070,0,0,0,000,8
44290272,502.93702546296294,4,1650,1,1,1,111,1
44303264,8.112407407407407,76,10800,0,0,0,000,8
44340416,357.8484837962963,1,500,1,1,1,111,1
44342464,25.772743055555555,9,2275,0,0,0,000,8
44396032,435.08061342592595,10,4000,1,0,0,100,5
44400608,53.828530092592594,5,1600,1,1,1,111,1
44441696,148.93615740740742,9,3850,1,0,0,100,5
44443664,320.2374189814815,7,3500,1,0,0,100,5
44462048,23.075983796296295,7,1700,0,0,1,001,7
44477904,99.68905092592593,4,2000,1,1,0,110,2
44518240,4.853321759259259,34,10150,0,0,0,000,8
44602080,55.772337962962965,64,17750,1,0,0,100,5
44649056,10.847060185185185,2,650,0,1,1,011,4
44745472,612.6120833333333,1,500,1,1,1,111,1
44840528,53.52596064814815,4,900,1,1,1,111,1
44889904,16.70630787037037,1,150,0,1,1,011,4
44892864,523.9186111111111,3,450,1,1,1,111,1
44906048,22.036296296296296,12,2600,0,0,0,000,8
44916064,39.82258101851852,9,2950,0,0,0,000,8
44935968,59.054525462962964,5,1950,1,1,0,110,2
44951840,260.79873842592593,12,3600,1,0,0,100,5
44954112,20.012326388888887,8,3190,0,0,0,000,8
44962256,214.78322916666667,16,6650,1,0,0,100,5
44975440,436.01296296296294,1,500,1,1,1,111,1
45018640,20.772569444444443,1,500,0,1,1,011,4
45023696,380.2161689814815,1,300,1,1,1,111,1
45040768,56.053842592592595,11,750,1,0,1,101,3
45061024,30.755891203703705,26,11350,0,0,0,000,8
45071840,287.0371875,20,7500,1,0,0,100,5
45079296,27.6815625,1,50,0,1,1,011,4
45081744,511.01354166666664,2,1000,1,1,1,111,1
45117104,231.7427199074074,28,10050,1,0,0,100,5
45120576,2.999722222222222,17,7600,0,0,0,000,8
45138469,22.581481481481482,14,2950,0,0,0,000,8
45142670,29.579791666666665,7,1550,0,0,1,001,7
45142908,49.94362268518518,2,1000,1,1,1,111,1
45145770,49.66221064814815,4,1100,0,1,1,011,4
45152962,355.97243055555555,1,500,1,1,1,111,1
45156077,28.545416666666668,1,150,0,1,1,011,4
45156371,25.011875,7,2050,0,0,0,000,8
45157114,18.062256944444446,6,2750,0,1,0,010,6
45159681,147.74971064814815,8,3500,1,0,0,100,5
45163503,0.18640046296296298,9,4350,0,0,0,000,8
45163505,51.72821759259259,17,7150,1,0,0,100,5
45164511,201.9884722222222,20,8750,1,0,0,100,5
45166186,28.00681712962963,21,5450,0,0,0,000,8
45168905,624.8640277777778,1,500,1,1,1,111,1
45170606,24.727280092592594,2,1015,0,1,1,011,4
45175063,43.99804398148148,1,500,0,1,1,011,4
45177204,86.2387037037037,39,16650,1,0,0,100,5
45183359,380.21373842592595,1,300,1,1,1,111,1
45186239,27.622939814814814,5,1700,0,1,1,011,4
45191388,8.758113425925925,3,1500,0,1,1,011,4
45204895,14.856261574074074,7,1950,0,0,0,000,8
45212599,27.00369212962963,10,1850,0,0,0,000,8
45214918,21.23265046296296,1,500,0,1,1,011,4
45223049,19.922592592592594,1,50,0,1,1,011,4
45233205,7.792939814814815,59,13580,0,0,0,000,8
45238538,21.707256944444445,27,8000,0,0,0,000,8
45240251,24.80039351851852,65,23750,0,0,0,000,8
45240644,57.09949074074074,44,16150,1,0,0,100,5
45244573,2.8200231481481484,43,12900,0,0,0,000,8
45252833,330.98288194444444,3,790,1,1,1,111,1
45253663,2.211851851851852,1,50,0,1,1,011,4
45255618,358.6891435185185,14,5175,1,0,0,100,5
45259309,328.5162152777778,2,290,1,1,1,111,1
45259310,330.28644675925926,2,290,1,1,1,111,1
45259311,330.7279050925926,3,590,1,1,1,111,1
45259314,332.783125,2,290,1,1,1,111,1
45259817,231.745625,6,3250,1,1,0,110,2
45259835,40.85929398148148,24,5130,0,0,0,000,8
45262889,357.62769675925927,1,500,1,1,1,111,1
45262930,362.9738541666667,2,1000,1,1,1,111,1
45264199,52.84222222222222,1,500,1,1,1,111,1
45264888,357.626400462963,1,500,1,1,1,111,1
45267084,56.849895833333335,151,48650,1,0,0,100,5
45268926,45.589305555555555,44,13400,0,0,0,000,8
45269876,524.7129513888889,1,50,1,1,1,111,1
45271739,53.14818287037037,10,4600,1,0,0,100,5
45271818,179.18725694444444,24,5750,1,0,0,100,5
45272089,617.3551620370371,3,850,1,1,1,111,1
45272291,44.89253472222222,6,1590,0,1,1,011,4
45272601,571.8534606481481,3,1300,1,1,1,111,1
45272917,111.90190972222223,1,500,1,1,1,111,1
45273014,22.106828703703705,1,450,0,1,1,011,4
45274119,22.21377314814815,15,5690,0,0,0,000,8
45274699,505.750625,4,1300,1,1,1,111,1
45274815,48.88760416666667,14,2425,0,0,0,000,8
